geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1144185,Dandar,P,PPLA2,AF,Afghanistan,,40,309,,,0,,1724,Asia/Kabul,2020/6/9,Afghanistan
1148560,Aqchah,P,PPLA2,AF,Afghanistan,,31,1706,,,0,,293,Asia/Kabul,2020/6/9,Afghanistan
1148893,'Ali Sher 'Alaqahdari,P,PPLA2,AF,Afghanistan,,37,3207,,,0,,1082,Asia/Kabul,2020/6/9,Afghanistan
1437312,Kushkak,P,PPLA2,AF,Afghanistan,,6,2108,,,0,,612,Asia/Kabul,2018/2/17,Afghanistan
1129555,Qarghah'i,P,PPLA2,AF,Afghanistan,,35,902,,,0,,659,Asia/Kabul,2020/6/9,Afghanistan
1129636,Qarchi Gak,P,PPL,AF,Afghanistan,,30,1605,,,8942,,306,Asia/Kabul,2018/2/17,Afghanistan
1130469,Parun,P,PPLA,AF,Afghanistan,,38,3001,,,1000,,2756,Asia/Kabul,2020/6/9,Afghanistan
1130997,Pashmul,P,PPLA2,AF,Afghanistan,,23,2416,,,0,,946,Asia/Kabul,2020/6/9,Afghanistan
1132172,Okak,P,PPLA2,AF,Afghanistan,,8,604,,,0,,3068,Asia/Kabul,2020/6/9,Afghanistan
1132604,Musa Qal'ah,P,PPLA2,AF,Afghanistan,,10,2304,,,0,,1053,Asia/Kabul,2020/6/9,Afghanistan
1143529,Deh-e Salah,P,PPLA2,AF,Afghanistan,,3,1312,,,0,,1632,Asia/Kabul,2018/2/17,Afghanistan
1143630,Dehdadi,P,PPLA2,AF,Afghanistan,,30,1612,,,0,,398,Asia/Kabul,2020/6/9,Afghanistan
1123906,Spin Boldak,P,PPLA2,AF,Afghanistan,,23,2411,,,0,,1218,Asia/Kabul,2018/2/17,Afghanistan
1133456,Maidan Khulah,P,PPLA2,AF,Afghanistan,,36,706,,,0,,2026,Asia/Kabul,2020/6/9,Afghanistan
1133749,Mashhad,P,PPLA2,AF,Afghanistan,,1,1102,,,0,,977,Asia/Kabul,2018/2/17,Afghanistan
1134887,La'l,P,PPLA2,AF,Afghanistan,,9,2707,,,0,,2797,Asia/Kabul,2018/2/17,Afghanistan
